"codendereco","rua","modulo","posicao","tipo"
"05-25-09","05","25","09",COLEÇÃO
"05-25-10","05","25","10",COLEÇÃO
"05-25-11","05","25","11",COLEÇÃO
"05-25-12","05","25","12",COLEÇÃO
"05-25-13","05","25","13",COLEÇÃO
"05-25-14","05","25","14",COLEÇÃO
"05-25-15","05","25","15",COLEÇÃO
"05-25-16","05","25","16",COLEÇÃO
"05-25-17","05","25","17",COLEÇÃO
"05-25-18","05","25","18",COLEÇÃO
"05-25-19","05","25","19",COLEÇÃO
"05-25-20","05","25","20",COLEÇÃO
"05-25-21","05","25","21",COLEÇÃO
"05-25-22","05","25","22",COLEÇÃO
"05-25-23","05","25","23",COLEÇÃO
"05-25-24","05","25","24",COLEÇÃO
"05-26-01","05","26","01",COLEÇÃO
"05-26-02","05","26","02",COLEÇÃO
"05-26-03","05","26","03",COLEÇÃO
"05-26-04","05","26","04",COLEÇÃO
"05-26-05","05","26","05",COLEÇÃO
"05-26-06","05","26","06",COLEÇÃO
"05-26-07","05","26","07",COLEÇÃO
"05-26-08","05","26","08",COLEÇÃO
"05-26-09","05","26","09",COLEÇÃO
"05-26-10","05","26","10",COLEÇÃO
"05-26-11","05","26","11",COLEÇÃO
"05-26-12","05","26","12",COLEÇÃO
"05-26-13","05","26","13",COLEÇÃO
"05-26-14","05","26","14",COLEÇÃO
"05-26-15","05","26","15",COLEÇÃO
"05-26-16","05","26","16",COLEÇÃO
"05-26-17","05","26","17",COLEÇÃO
"05-26-18","05","26","18",COLEÇÃO
"05-26-19","05","26","19",COLEÇÃO
"05-26-20","05","26","20",COLEÇÃO
"05-26-21","05","26","21",COLEÇÃO
"05-26-22","05","26","22",COLEÇÃO
"05-26-23","05","26","23",COLEÇÃO
"05-26-24","05","26","24",COLEÇÃO
"05-27-01","05","27","01",COLEÇÃO
"05-27-02","05","27","02",COLEÇÃO
"05-27-03","05","27","03",COLEÇÃO
"05-27-04","05","27","04",COLEÇÃO
"05-27-05","05","27","05",COLEÇÃO
"05-27-06","05","27","06",COLEÇÃO
